Entity_ID,Customer,Destination,Category,Week +1_Vol,Week +1_Wt,Week +2_Vol,Week +2_Wt,Week +3_Vol,Week +3_Wt,Week +4_Vol,Week +4_Wt
"Yanwen Logistics Co., Ltd. Shenzhen Branch_RE_156","Yanwen Logistics Co., Ltd. Shenzhen Branch",RE,WATCH STRAP类,4.0,0.56,1.0,0.14,2.0,0.28,1.0,0.14
"Yanwen Logistics Co., Ltd. Shenzhen Branch_RE_258","Yanwen Logistics Co., Ltd. Shenzhen Branch",RE,CARE PATCH类,4.0,0.18,1.0,0.04,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_ES_435","Yanwen Logistics Co., Ltd. Shenzhen Branch",ES,BUTTON类,4.0,0.1,1.0,0.03,1.0,0.03,0.0,0.0
Shipany Limited_TH_270,Shipany Limited,TH,SLEEP BRACES类,4.0,0.58,3.0,0.43,4.0,0.58,1.0,0.14
"Yanwen Logistics Co., Ltd. Shenzhen Branch_FO_12999","Yanwen Logistics Co., Ltd. Shenzhen Branch",FO,L1大类12_长尾杂项,4.0,3.42,2.0,1.71,1.0,0.85,1.0,0.85
"Yanwen Logistics Co., Ltd. Shenzhen Branch_CH_87","Yanwen Logistics Co., Ltd. Shenzhen Branch",CH,PHONE SCREEN PROTECTOR类,4.0,0.16,1.0,0.04,2.0,0.08,1.0,0.04
"Yanwen Logistics Co., Ltd. Shenzhen Branch_MA_194","Yanwen Logistics Co., Ltd. Shenzhen Branch",MA,HEADSET,4.0,0.54,2.0,0.27,3.0,0.4,3.0,0.4
"Yanwen Logistics Co., Ltd. Shenzhen Branch_CH_484","Yanwen Logistics Co., Ltd. Shenzhen Branch",CH,MAT类,4.0,0.3,1.0,0.07,2.0,0.15,2.0,0.15
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GL_165","Yanwen Logistics Co., Ltd. Shenzhen Branch",GL,PAPER CARD类,4.0,0.8,0.0,0.0,1.0,0.2,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_CZ_433","Yanwen Logistics Co., Ltd. Shenzhen Branch",CZ,INTEGRATED CIRCUIT类,4.0,0.06,1.0,0.01,1.0,0.01,1.0,0.01
"Yanwen Logistics Co., Ltd. Shenzhen Branch_PF_361","Yanwen Logistics Co., Ltd. Shenzhen Branch",PF,BLACK MOISTURIZING EYE CREAM类,4.0,0.43,1.0,0.11,1.0,0.11,0.0,0.0
ASIA ENTERTAINMENT TECHNOLOGY LTD_SA_163,ASIA ENTERTAINMENT TECHNOLOGY LTD,SA,VIDEO GAME类,4.0,1.11,2.0,0.55,2.0,0.55,2.0,0.55
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GE_165","Yanwen Logistics Co., Ltd. Shenzhen Branch",GE,PAPER CARD类,4.0,0.42,1.0,0.11,1.0,0.11,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_MQ_156","Yanwen Logistics Co., Ltd. Shenzhen Branch",MQ,WATCH STRAP类,4.0,0.74,1.0,0.18,1.0,0.18,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_QA_286","Yanwen Logistics Co., Ltd. Shenzhen Branch",QA,HAIR TRIMMER,4.0,2.22,3.0,1.67,5.0,2.78,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_BM_999","Yanwen Logistics Co., Ltd. Shenzhen Branch",BM,L1大类0_长尾杂项,4.0,3.37,1.0,0.84,1.0,0.84,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_PL_484","Yanwen Logistics Co., Ltd. Shenzhen Branch",PL,MAT类,4.0,0.1,1.0,0.03,1.0,0.03,0.0,0.0
GPGS_MY_368,GPGS,MY,AUDIO ACCESSORIES类,4.0,0.41,2.0,0.2,3.0,0.31,1.0,0.1
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GI_8999","Yanwen Logistics Co., Ltd. Shenzhen Branch",GI,L1大类8_长尾杂项,3.0,0.91,1.0,0.3,1.0,0.3,0.0,0.0
GPGS_LT_368,GPGS,LT,AUDIO ACCESSORIES类,3.0,0.3,2.0,0.2,3.0,0.3,1.0,0.1
GPGS_AT_368,GPGS,AT,AUDIO ACCESSORIES类,3.0,0.3,1.0,0.1,1.0,0.1,3.0,0.3
Easyship Fulfillment Services Limited_AR_159,Easyship Fulfillment Services Limited,AR,TANGEM CARD 2.0 SET OF 3 CARDS SEMICONDUCTOR SMART类,3.0,0.39,3.0,0.39,0.0,0.0,1.0,0.13
ASIA ENTERTAINMENT TECHNOLOGY LTD_IL_163,ASIA ENTERTAINMENT TECHNOLOGY LTD,IL,VIDEO GAME类,3.0,1.99,2.0,1.33,3.0,1.99,2.0,1.33
"Yanwen Logistics Co., Ltd. Shenzhen Branch_CZ_87","Yanwen Logistics Co., Ltd. Shenzhen Branch",CZ,PHONE SCREEN PROTECTOR类,3.0,0.11,1.0,0.04,0.0,0.0,4.0,0.15
"Yanwen Logistics Co., Ltd. Shenzhen Branch_CZ_8999","Yanwen Logistics Co., Ltd. Shenzhen Branch",CZ,L1大类8_长尾杂项,3.0,0.16,0.0,0.0,1.0,0.05,0.0,0.0
GPGS_CZ_368,GPGS,CZ,AUDIO ACCESSORIES类,3.0,0.3,1.0,0.1,3.0,0.3,2.0,0.2
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GL_386","Yanwen Logistics Co., Ltd. Shenzhen Branch",GL,PLASTIC DESKTOP ORNAMENTS类,3.0,0.98,1.0,0.33,1.0,0.33,0.0,0.0
ASIA ENTERTAINMENT TECHNOLOGY LTD_ID_163,ASIA ENTERTAINMENT TECHNOLOGY LTD,ID,VIDEO GAME类,3.0,0.71,1.0,0.24,4.0,0.94,2.0,0.47
"Yanwen Logistics Co., Ltd. Shenzhen Branch_TR_77","Yanwen Logistics Co., Ltd. Shenzhen Branch",TR,KEYBOARD类,3.0,3.79,0.0,0.0,1.0,1.26,0.0,0.0
Easyship Fulfillment Services Limited_UZ_159,Easyship Fulfillment Services Limited,UZ,TANGEM CARD 2.0 SET OF 3 CARDS SEMICONDUCTOR SMART类,3.0,0.33,1.0,0.11,1.0,0.11,3.0,0.33
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GP_165","Yanwen Logistics Co., Ltd. Shenzhen Branch",GP,PAPER CARD类,3.0,1.21,1.0,0.4,1.0,0.4,1.0,0.4
"Yanwen Logistics Co., Ltd. Shenzhen Branch_KW_2999","Yanwen Logistics Co., Ltd. Shenzhen Branch",KW,L1大类2_长尾杂项,3.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_MQ_999","Yanwen Logistics Co., Ltd. Shenzhen Branch",MQ,L1大类0_长尾杂项,3.0,1.03,0.0,0.0,1.0,0.34,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_FO_999","Yanwen Logistics Co., Ltd. Shenzhen Branch",FO,L1大类0_长尾杂项,3.0,1.15,2.0,0.76,2.0,0.76,1.0,0.38
"Yanwen Logistics Co., Ltd. Shenzhen Branch_BM_8999","Yanwen Logistics Co., Ltd. Shenzhen Branch",BM,L1大类8_长尾杂项,3.0,1.04,1.0,0.35,1.0,0.35,0.0,0.0
GPGS_BR_368,GPGS,BR,AUDIO ACCESSORIES类,3.0,0.3,1.0,0.1,4.0,0.4,1.0,0.1
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GP_361","Yanwen Logistics Co., Ltd. Shenzhen Branch",GP,BLACK MOISTURIZING EYE CREAM类,3.0,0.3,2.0,0.2,3.0,0.3,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_DZ_364","Yanwen Logistics Co., Ltd. Shenzhen Branch",DZ,SPEAKER类,3.0,0.39,0.0,0.0,0.0,0.0,1.0,0.13
"Yanwen Logistics Co., Ltd. Shenzhen Branch_HR_300","Yanwen Logistics Co., Ltd. Shenzhen Branch",HR,CASES类,3.0,0.13,0.0,0.0,1.0,0.04,0.0,0.0
GPGS_AU_368,GPGS,AU,AUDIO ACCESSORIES类,3.0,0.82,1.0,0.27,1.0,0.27,0.0,0.0
Shipany Limited_MY_279,Shipany Limited,MY,POUCH BAG类,3.0,0.38,1.0,0.13,1.0,0.13,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GR_87","Yanwen Logistics Co., Ltd. Shenzhen Branch",GR,PHONE SCREEN PROTECTOR类,3.0,0.16,0.0,0.0,0.0,0.0,2.0,0.1
"Yanwen Logistics Co., Ltd. Shenzhen Branch_KW_176","Yanwen Logistics Co., Ltd. Shenzhen Branch",KW,WOMEN  COTTON  DRESS类,3.0,2.08,1.0,0.69,1.0,0.69,4.0,2.77
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GP_393","Yanwen Logistics Co., Ltd. Shenzhen Branch",GP,ANTI-STRETCH MARK CREAM类,3.0,0.71,1.0,0.24,3.0,0.71,1.0,0.24
Easyship Fulfillment Services Limited_SG_2,Easyship Fulfillment Services Limited,SG,ARC PULSE FOR IPHONE 17 PRO MAX - ALUMINUM SILVER类,3.0,0.28,2.0,0.19,3.0,0.28,13.0,1.21
"Yanwen Logistics Co., Ltd. Shenzhen Branch_BM_17999","Yanwen Logistics Co., Ltd. Shenzhen Branch",BM,L1大类17_长尾杂项,3.0,0.96,2.0,0.64,1.0,0.32,2.0,0.64
"Yanwen Logistics Co., Ltd. Shenzhen Branch_NZ_16999","Yanwen Logistics Co., Ltd. Shenzhen Branch",NZ,L1大类16_长尾杂项,3.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_NO_19999","Yanwen Logistics Co., Ltd. Shenzhen Branch",NO,L1大类19_长尾杂项,3.0,0.16,0.0,0.0,1.0,0.05,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_NO_8999","Yanwen Logistics Co., Ltd. Shenzhen Branch",NO,L1大类8_长尾杂项,3.0,0.18,0.0,0.0,1.0,0.06,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_PY_8999","Yanwen Logistics Co., Ltd. Shenzhen Branch",PY,L1大类8_长尾杂项,3.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_TR_238","Yanwen Logistics Co., Ltd. Shenzhen Branch",TR,EARPHONE类,3.0,0.63,0.0,0.0,1.0,0.21,0.0,0.0
GPGS_LV_368,GPGS,LV,AUDIO ACCESSORIES类,3.0,0.3,1.0,0.1,1.0,0.1,0.0,0.0
GPGS_RO_368,GPGS,RO,AUDIO ACCESSORIES类,3.0,0.3,1.0,0.1,2.0,0.2,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_TR_5","Yanwen Logistics Co., Ltd. Shenzhen Branch",TR,KIDS PAINTING KIT,2.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0
ASIA ENTERTAINMENT TECHNOLOGY LTD_NO_163,ASIA ENTERTAINMENT TECHNOLOGY LTD,NO,VIDEO GAME类,2.0,0.7,0.0,0.0,4.0,1.39,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_DZ_165","Yanwen Logistics Co., Ltd. Shenzhen Branch",DZ,PAPER CARD类,2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_DK_367","Yanwen Logistics Co., Ltd. Shenzhen Branch",DK,SPEAKER PARTS类,2.0,0.15,1.0,0.07,1.0,0.07,1.0,0.07
"Yanwen Logistics Co., Ltd. Shenzhen Branch_TR_155","Yanwen Logistics Co., Ltd. Shenzhen Branch",TR,WATCH类,2.0,0.43,0.0,0.0,1.0,0.22,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_CZ_450","Yanwen Logistics Co., Ltd. Shenzhen Branch",CZ,PLASTIC PARTICLE类,2.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_OM_8999","Yanwen Logistics Co., Ltd. Shenzhen Branch",OM,L1大类8_长尾杂项,2.0,0.51,0.0,0.0,1.0,0.26,1.0,0.26
"Yanwen Logistics Co., Ltd. Shenzhen Branch_NO_2999","Yanwen Logistics Co., Ltd. Shenzhen Branch",NO,L1大类2_长尾杂项,2.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Easyship Fulfillment Services Limited_MQ_159,Easyship Fulfillment Services Limited,MQ,TANGEM CARD 2.0 SET OF 3 CARDS SEMICONDUCTOR SMART类,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_FO_19999","Yanwen Logistics Co., Ltd. Shenzhen Branch",FO,L1大类19_长尾杂项,2.0,0.3,1.0,0.15,1.0,0.15,1.0,0.15
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GL_119","Yanwen Logistics Co., Ltd. Shenzhen Branch",GL,PHONE CASE类,2.0,0.18,0.0,0.0,1.0,0.09,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_CH_487","Yanwen Logistics Co., Ltd. Shenzhen Branch",CH,CABLE类,2.0,0.11,1.0,0.06,1.0,0.06,1.0,0.06
"Yanwen Logistics Co., Ltd. Shenzhen Branch_FO_286","Yanwen Logistics Co., Ltd. Shenzhen Branch",FO,HAIR TRIMMER,2.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GI_999","Yanwen Logistics Co., Ltd. Shenzhen Branch",GI,L1大类0_长尾杂项,2.0,0.85,1.0,0.42,1.0,0.42,1.0,0.42
GPGS_TW_368,GPGS,TW,AUDIO ACCESSORIES类,2.0,0.2,1.0,0.1,2.0,0.2,1.0,0.1
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GF_8999","Yanwen Logistics Co., Ltd. Shenzhen Branch",GF,L1大类8_长尾杂项,2.0,0.29,0.0,0.0,1.0,0.14,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_QA_484","Yanwen Logistics Co., Ltd. Shenzhen Branch",QA,MAT类,2.0,0.72,0.0,0.0,1.0,0.36,1.0,0.36
"Yanwen Logistics Co., Ltd. Shenzhen Branch_QA_345","Yanwen Logistics Co., Ltd. Shenzhen Branch",QA,BRACELET类,2.0,0.29,1.0,0.14,2.0,0.29,1.0,0.14
"Yanwen Logistics Co., Ltd. Shenzhen Branch_FO_2999","Yanwen Logistics Co., Ltd. Shenzhen Branch",FO,L1大类2_长尾杂项,2.0,0.1,1.0,0.05,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GI_484","Yanwen Logistics Co., Ltd. Shenzhen Branch",GI,MAT类,2.0,0.35,0.0,0.0,1.0,0.18,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GF_286","Yanwen Logistics Co., Ltd. Shenzhen Branch",GF,HAIR TRIMMER,2.0,0.67,1.0,0.34,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_PL_16999","Yanwen Logistics Co., Ltd. Shenzhen Branch",PL,L1大类16_长尾杂项,2.0,0.01,0.0,0.0,1.0,0.01,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_CH_483","Yanwen Logistics Co., Ltd. Shenzhen Branch",CH,DEPILATOR类,2.0,0.05,0.0,0.0,1.0,0.03,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GF_165","Yanwen Logistics Co., Ltd. Shenzhen Branch",GF,PAPER CARD类,2.0,0.55,1.0,0.27,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_NO_484","Yanwen Logistics Co., Ltd. Shenzhen Branch",NO,MAT类,2.0,0.66,0.0,0.0,0.0,0.0,1.0,0.33
"Yanwen Logistics Co., Ltd. Shenzhen Branch_NZ_367","Yanwen Logistics Co., Ltd. Shenzhen Branch",NZ,SPEAKER PARTS类,2.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_QA_19999","Yanwen Logistics Co., Ltd. Shenzhen Branch",QA,L1大类19_长尾杂项,2.0,0.42,0.0,0.0,1.0,0.21,1.0,0.21
"Yanwen Logistics Co., Ltd. Shenzhen Branch_FO_8999","Yanwen Logistics Co., Ltd. Shenzhen Branch",FO,L1大类8_长尾杂项,2.0,0.49,1.0,0.25,1.0,0.25,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_PL_358","Yanwen Logistics Co., Ltd. Shenzhen Branch",PL,STICKER类,2.0,0.06,1.0,0.03,1.0,0.03,0.0,0.0
BLACKSHEEP AVIONICS CO LTD._DE_12999,BLACKSHEEP AVIONICS CO LTD.,DE,L1大类12_长尾杂项,2.0,0.43,1.0,0.21,4.0,0.85,2.0,0.43
"Yanwen Logistics Co., Ltd. Shenzhen Branch_PL_487","Yanwen Logistics Co., Ltd. Shenzhen Branch",PL,CABLE类,2.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_FO_484","Yanwen Logistics Co., Ltd. Shenzhen Branch",FO,MAT类,2.0,0.33,3.0,0.5,3.0,0.5,1.0,0.17
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GB_217","Yanwen Logistics Co., Ltd. Shenzhen Branch",GB,RING类,2.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_MQ_54","Yanwen Logistics Co., Ltd. Shenzhen Branch",MQ,CAR SCRATCH REPAIR PEN,2.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_OM_345","Yanwen Logistics Co., Ltd. Shenzhen Branch",OM,BRACELET类,2.0,0.22,0.0,0.0,1.0,0.11,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_CH_443","Yanwen Logistics Co., Ltd. Shenzhen Branch",CH,SWITCH类,2.0,0.17,1.0,0.09,1.0,0.09,0.0,0.0
GPGS_PT_368,GPGS,PT,AUDIO ACCESSORIES类,2.0,0.2,1.0,0.1,5.0,0.5,8.0,0.8
Floship Ltd._IL_90,Floship Ltd.,IL,NERVE STIMULATOR FOR PAIN RELIEF类,2.0,0.8,1.0,0.4,4.0,1.59,2.0,0.8
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GL_407","Yanwen Logistics Co., Ltd. Shenzhen Branch",GL,CUP类,2.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_RE_266","Yanwen Logistics Co., Ltd. Shenzhen Branch",RE,DOUBLE-HEADED SHAVER类,2.0,0.64,0.0,0.0,1.0,0.32,0.0,0.0
Easyship Fulfillment Services Limited_NG_159,Easyship Fulfillment Services Limited,NG,TANGEM CARD 2.0 SET OF 3 CARDS SEMICONDUCTOR SMART类,2.0,0.23,1.0,0.11,0.0,0.0,2.0,0.23
"Yanwen Logistics Co., Ltd. Shenzhen Branch_ES_450","Yanwen Logistics Co., Ltd. Shenzhen Branch",ES,PLASTIC PARTICLE类,2.0,0.04,1.0,0.02,0.0,0.0,1.0,0.02
Easyship Fulfillment Services Limited_SG_180,Easyship Fulfillment Services Limited,SG,HANDBAG - NYLON FABRIC类,2.0,4.32,1.0,2.16,0.0,0.0,1.0,2.16
"Yanwen Logistics Co., Ltd. Shenzhen Branch_ES_232","Yanwen Logistics Co., Ltd. Shenzhen Branch",ES,PLASTIC BEADS类,2.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_KW_311","Yanwen Logistics Co., Ltd. Shenzhen Branch",KW,WOMEN'S KNITTED POLYESTER DRESS类,2.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0
Shenzhen Takesend Logistics Co. Ltd._NZ_492,Shenzhen Takesend Logistics Co. Ltd.,NZ,DOOR SCREEN类,2.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_KW_155","Yanwen Logistics Co., Ltd. Shenzhen Branch",KW,WATCH类,2.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0
GPGS_BG_368,GPGS,BG,AUDIO ACCESSORIES类,2.0,0.2,1.0,0.1,2.0,0.2,1.0,0.1
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GL_2999","Yanwen Logistics Co., Ltd. Shenzhen Branch",GL,L1大类2_长尾杂项,2.0,0.19,0.0,0.0,1.0,0.09,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_GL_236","Yanwen Logistics Co., Ltd. Shenzhen Branch",GL,JEWELRY PENDANTS类,2.0,0.11,0.0,0.0,0.0,0.0,1.0,0.05
"Yanwen Logistics Co., Ltd. Shenzhen Branch_CH_8999","Yanwen Logistics Co., Ltd. Shenzhen Branch",CH,L1大类8_长尾杂项,2.0,0.14,1.0,0.07,1.0,0.07,1.0,0.07
"Yanwen Logistics Co., Ltd. Shenzhen Branch_DZ_326","Yanwen Logistics Co., Ltd. Shenzhen Branch",DZ,EYELASH GLUE类,2.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_DZ_77","Yanwen Logistics Co., Ltd. Shenzhen Branch",DZ,KEYBOARD类,2.0,2.95,0.0,0.0,2.0,2.95,1.0,1.47
"Yanwen Logistics Co., Ltd. Shenzhen Branch_HR_367","Yanwen Logistics Co., Ltd. Shenzhen Branch",HR,SPEAKER PARTS类,2.0,0.1,1.0,0.05,1.0,0.05,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_DZ_308","Yanwen Logistics Co., Ltd. Shenzhen Branch",DZ,CLEOPATRA 2.0 BROWN类,2.0,0.19,4.0,0.38,1.0,0.1,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_KW_18999","Yanwen Logistics Co., Ltd. Shenzhen Branch",KW,L1大类18_长尾杂项,2.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0
Easyship Fulfillment Services Limited_MD_159,Easyship Fulfillment Services Limited,MD,TANGEM CARD 2.0 SET OF 3 CARDS SEMICONDUCTOR SMART类,2.0,0.25,0.0,0.0,1.0,0.12,3.0,0.37
"Yanwen Logistics Co., Ltd. Shenzhen Branch_SV_999","Yanwen Logistics Co., Ltd. Shenzhen Branch",SV,L1大类0_长尾杂项,2.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_EE_87","Yanwen Logistics Co., Ltd. Shenzhen Branch",EE,PHONE SCREEN PROTECTOR类,2.0,0.15,0.0,0.0,0.0,0.0,1.0,0.07
BLACKSHEEP AVIONICS CO LTD._GB_12999,BLACKSHEEP AVIONICS CO LTD.,GB,L1大类12_长尾杂项,2.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_CR_319","Yanwen Logistics Co., Ltd. Shenzhen Branch",CR,ZINC ALLOY MEDAL类,2.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_EG_338","Yanwen Logistics Co., Ltd. Shenzhen Branch",EG,STAINLESS STEEL BRACELET类,2.0,0.1,0.0,0.0,0.0,0.0,1.0,0.05
"Yanwen Logistics Co., Ltd. Shenzhen Branch_EG_77","Yanwen Logistics Co., Ltd. Shenzhen Branch",EG,KEYBOARD类,2.0,3.14,1.0,1.57,1.0,1.57,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_EG_8999","Yanwen Logistics Co., Ltd. Shenzhen Branch",EG,L1大类8_长尾杂项,2.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_JO_999","Yanwen Logistics Co., Ltd. Shenzhen Branch",JO,L1大类0_长尾杂项,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
Shipany Limited_TH_336,Shipany Limited,TH,ESSENTIAL OIL SOAP类,2.0,0.88,4.0,1.76,8.0,3.51,1.0,0.44
Shipany Limited_TH_331,Shipany Limited,TH,MOISTURIZING ESSENCE WATER类,2.0,0.63,1.0,0.31,4.0,1.26,0.0,0.0
Shipany Limited_TH_259,Shipany Limited,TH,CARE TOOL类,2.0,0.48,4.0,0.95,4.0,0.95,1.0,0.24
Strawberry Cosmetics Service Limited_IL_17999,Strawberry Cosmetics Service Limited,IL,L1大类17_长尾杂项,2.0,0.77,0.0,0.0,2.0,0.77,1.0,0.38
"Yanwen Logistics Co., Ltd. Shenzhen Branch_CZ_16999","Yanwen Logistics Co., Ltd. Shenzhen Branch",CZ,L1大类16_长尾杂项,2.0,0.09,1.0,0.04,1.0,0.04,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_CZ_119","Yanwen Logistics Co., Ltd. Shenzhen Branch",CZ,PHONE CASE类,2.0,0.13,0.0,0.0,0.0,0.0,1.0,0.07
"Yanwen Logistics Co., Ltd. Shenzhen Branch_UY_346","Yanwen Logistics Co., Ltd. Shenzhen Branch",UY,PLASTIC BOX类,2.0,0.13,1.0,0.07,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_TR_320","Yanwen Logistics Co., Ltd. Shenzhen Branch",TR,SPLICING MODEL TOY类,1.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_TR_274","Yanwen Logistics Co., Ltd. Shenzhen Branch",TR,NECK MASSAGER类,1.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_TR_239","Yanwen Logistics Co., Ltd. Shenzhen Branch",TR,EARRING类,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
ASIA ENTERTAINMENT TECHNOLOGY LTD_RE_163,ASIA ENTERTAINMENT TECHNOLOGY LTD,RE,VIDEO GAME类,1.0,0.38,1.0,0.38,0.0,0.0,0.0,0.0
ASIA ENTERTAINMENT TECHNOLOGY LTD_PR_163,ASIA ENTERTAINMENT TECHNOLOGY LTD,PR,VIDEO GAME类,1.0,0.33,1.0,0.33,2.0,0.66,1.0,0.33
"Yanwen Logistics Co., Ltd. Shenzhen Branch_TR_76","Yanwen Logistics Co., Ltd. Shenzhen Branch",TR,TABLET类,1.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_TR_6999","Yanwen Logistics Co., Ltd. Shenzhen Branch",TR,L1大类6_长尾杂项,1.0,0.28,0.0,0.0,1.0,0.28,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_TR_452","Yanwen Logistics Co., Ltd. Shenzhen Branch",TR,FAN类,1.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0
"Yanwen Logistics Co., Ltd. Shenzhen Branch_TR_450","Yanwen Logistics Co., Ltd. Shenzhen Branch",TR,PLASTIC PARTICLE类,1.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0
ASIA ENTERTAINMENT TECHNOLOGY LTD_KZ_163,ASIA ENTERTAINMENT TECHNOLOGY LTD,KZ,VIDEO GAME类,1.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0
ASIA ENTERTAINMENT TECHNOLOGY LTD_IL_277,ASIA ENTERTAINMENT TECHNOLOGY LTD,IL,PLASTIC TOY FIGURE类,1.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0
